1. open	2. high	3. low	4. close	5. volume	date
1.0867	1.0879	1.0835	1.0867	0.0	1715904000
1.0883	1.0895	1.0854	1.0866	0.0	1715817600
1.0817	1.0886	1.0813	1.0883	0.0	1715731200
1.079	1.0826	1.0767	1.0816	0.0	1715644800
1.0771	1.0807	1.0765	1.0788	0.0	1715558400
1.078	1.079	1.076	1.0769	0.0	1715299200
1.0748	1.0785	1.0724	1.0781	0.0	1715212800
1.0755	1.0757	1.0733	1.0747	0.0	1715126400
1.0769	1.0787	1.0748	1.0756	0.0	1715040000
1.0763	1.0791	1.0755	1.0769	0.0	1714953600
1.0722	1.0812	1.0722	1.0761	0.0	1714694400
1.0711	1.073	1.0674	1.0723	0.0	1714608000
1.0669	1.0733	1.0649	1.071	0.0	1714521600
1.072	1.0735	1.0663	1.0669	0.0	1714435200
1.0695	1.0734	1.069	1.072	0.0	1714348800
1.0728	1.0753	1.0674	1.0692	0.0	1714089600
1.0697	1.074	1.0678	1.0728	0.0	1714003200
1.0702	1.0714	1.0678	1.0697	0.0	1713916800
1.0652	1.0711	1.0638	1.0702	0.0	1713830400
1.0656	1.0671	1.0624	1.0651	0.0	1713744000
1.0643	1.0678	1.061	1.0653	0.0	1713484800
1.0672	1.069	1.0641	1.0643	0.0	1713398400
1.0616	1.068	1.0606	1.0671	0.0	1713312000
1.0624	1.0654	1.0601	1.0615	0.0	1713225600
1.0634	1.0665	1.062	1.0623	0.0	1713139200
1.0727	1.0729	1.0622	1.0638	0.0	1712880000
1.0743	1.0757	1.0699	1.0727	0.0	1712793600
1.0857	1.0866	1.0729	1.0743	0.0	1712707200
1.0859	1.0885	1.0848	1.0857	0.0	1712620800
1.0837	1.0863	1.0821	1.0859	0.0	1712534400
1.0838	1.0848	1.0791	1.0836	0.0	1712275200
1.0833	1.0877	1.0831	1.0838	0.0	1712188800
1.0772	1.0837	1.0764	1.0833	0.0	1712102400
1.0743	1.0779	1.0724	1.0773	0.0	1712016000
1.0791	1.0799	1.0731	1.0743	0.0	1711929600
1.0789	1.0805	1.0768	1.079	0.0	1711670400
1.0826	1.0827	1.0775	1.0789	0.0	1711584000
1.0832	1.0839	1.081	1.0826	0.0	1711497600
1.0836	1.0864	1.0824	1.0832	0.0	1711411200
1.0807	1.0843	1.0802	1.0836	0.0	1711324800
1.086	1.0868	1.0801	1.0805	0.0	1711065600
1.0921	1.0943	1.0855	1.086	0.0	1710979200
1.0865	1.0923	1.0836	1.0921	0.0	1710892800
1.0873	1.0877	1.0835	1.0865	0.0	1710806400
1.0888	1.0906	1.0866	1.0872	0.0	1710720000
1.0885	1.09	1.0873	1.0887	0.0	1710460800
1.0949	1.0955	1.088	1.0885	0.0	1710374400
1.0926	1.0964	1.092	1.0948	0.0	1710288000
1.0926	1.0944	1.0902	1.0925	0.0	1710201600
1.0939	1.0948	1.0914	1.0926	0.0	1710115200
1.0948	1.0981	1.0918	1.0938	0.0	1709856000
1.0898	1.0949	1.0868	1.0948	0.0	1709769600
1.0856	1.0915	1.0842	1.0899	0.0	1709683200
1.0856	1.0876	1.084	1.0855	0.0	1709596800
1.0838	1.0867	1.0835	1.0856	0.0	1709510400
1.0805	1.0843	1.0798	1.0837	0.0	1709251200
1.0836	1.0856	1.0796	1.0805	0.0	1709164800
1.0844	1.0847	1.0796	1.0838	0.0	1709078400
1.085	1.0866	1.0833	1.0844	0.0	1708992000
1.0832	1.086	1.0812	1.0851	0.0	1708905600
1.0822	1.084	1.0812	1.0819	0.0	1708646400
1.0818	1.0888	1.0802	1.0822	0.0	1708560000
1.0808	1.0824	1.079	1.0818	0.0	1708473600
1.0777	1.0839	1.0761	1.0808	0.0	1708387200
1.0772	1.0789	1.0762	1.0778	0.0	1708300800
1.0772	1.0787	1.0732	1.0775	0.0	1708041600
1.0724	1.0785	1.0722	1.0772	0.0	1707955200
1.0709	1.0734	1.0695	1.0726	0.0	1707868800
1.0771	1.0798	1.07	1.0708	0.0	1707782400
1.0778	1.0805	1.0756	1.0771	0.0	1707696000
1.0777	1.0795	1.0762	1.0782	0.0	1707436800
1.077	1.0789	1.0741	1.0777	0.0	1707350400
1.0754	1.0784	1.0749	1.0772	0.0	1707264000
1.0742	1.0762	1.0722	1.0755	0.0	1707177600
1.0785	1.0786	1.0723	1.0742	0.0	1707091200
1.0871	1.0897	1.078	1.0785	0.0	1706832000
1.0818	1.0875	1.078	1.0871	0.0	1706745600
1.0845	1.0887	1.0795	1.0818	0.0	1706659200
1.0832	1.0857	1.0812	1.0845	0.0	1706572800
1.0843	1.085	1.0796	1.0833	0.0	1706486400
1.0845	1.0885	1.0813	1.0851	0.0	1706227200
1.0884	1.0902	1.0821	1.0845	0.0	1706140800
1.0854	1.0932	1.0846	1.0884	0.0	1706054400
1.0882	1.0916	1.0821	1.0854	0.0	1705968000
1.089	1.091	1.088	1.0882	0.0	1705881600
1.0876	1.0898	1.0865	1.0896	0.0	1705622400
1.0881	1.0907	1.0846	1.0876	0.0	1705536000
1.0874	1.0884	1.0844	1.0883	0.0	1705449600
1.0948	1.0951	1.0862	1.0875	0.0	1705363200
1.0953	1.0968	1.0933	1.0948	0.0	1705276800
1.0972	1.0987	1.0936	1.0948	0.0	1705017600
1.0972	1.1	1.093	1.0972	0.0	1704931200
1.0929	1.0973	1.0923	1.0972	0.0	1704844800
1.095	1.0966	1.091	1.0931	0.0	1704758400
1.0945	1.0979	1.0922	1.095	0.0	1704672000
1.0944	1.0998	1.0877	1.0939	0.0	1704412800
1.0921	1.0972	1.0914	1.0945	0.0	1704326400
1.0941	1.0965	1.0893	1.0921	0.0	1704240000
1.1044	1.1045	1.0938	1.0942	0.0	1704153600
1.104	1.1046	1.1034	1.1044	0.0	1704067200
